experiment,source,sha256,bytes,dataset,seed,eval_batch_size,model_config_slug,test_OA,qat_test_OA
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed5/result.json,f46f5b4cc87d2dee34ec45636bb3a983eb52ada7f0baef512b4f046aa3d2e1f7,9582,UP,5,,,0.9348703170028818,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed6/result.json,85b12be4dece9555ef4da8122b87c3013355369381b9f3bf863763e879569a14,9393,UP,6,,,0.9650061753808151,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed7/result.json,f414b48a05f926456d2bf853aff76539455f34e353a7f1ee35813e9192096d89,9756,UP,7,,,0.9417867435158501,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed8/result.json,9d03d9478320972f34dd5a208840d98e18d99c482286b8f4c9443a21ac0e12c5,9762,UP,8,,,0.9590778097982708,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state16/run_seed9/result.json,5ca76726dca0d7bb8567a568a2611ca6adb0b9ab3e5d5988cec59fe8b97d4fae,9409,UP,9,,,0.9594895018526143,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state32/run_seed0/result.json,41f637725483305f883735d997615867c2d8d1711b6c5a6e92fb4f563e49cbc6,9745,UP,0,,,0.9720872787155208,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state32/run_seed1/result.json,5415910b195a218f725de23901eb633e112fd55849a6c7cc3bae2ecae65b5aa2,9755,UP,1,,,0.9575957184026348,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state32/run_seed2/result.json,df976b7d4f1e614e520370d50e549b511f4e44d6c6498862b7bd49138bad035b,9974,UP,2,,,0.9507616303005352,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state32/run_seed3/result.json,ce2a1e2f48315086c3c62a5994b83a8fa09b7ee7a005a232ac5b7279ca8bee25,9200,UP,3,,,0.9256484149855908,
architecture_19,UP_all_samples_sqrt_inverse_clip3_2000_nobias/current_h32_br-both_fu-sum_sk2_z0_D0_A-shared_n-bn_a-relu_head64_tok4_state32/run_seed4/result.json,727f6d56e65f7c91eb86ddba738ff34091391ec4c1d918afc70dfb56a9163165,9765,UP,4,,,0.9160148209139564,
